
Host: Maxs-Air

Timers On : Fri Jul  2 00:04:18 2021
Timers Off: Fri Jul  2 00:04:19 2021

Wall Time:        1.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.033u      0.000s      0.014w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.033u      0.000s      0.023w      2 calls
SAD Guess                           :      0.033u      0.000s      0.021w      2 calls
HF: Form G                          :      1.133u      0.017s      0.693w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     18 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     18 calls
JK: JK                              :      0.000u      0.000s      0.003w     18 calls
PK computes JK                      :      0.000u      0.000s      0.003w     18 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     18 calls
UV: Form V                          :      1.133u      0.017s      0.687w      8 calls
Properties                          :      0.400u      0.000s      0.228w   4424 calls
Functional                          :      0.300u      0.000s      0.241w   4424 calls
V_xc                                :      0.400u      0.000s      0.202w   4424 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.017u      0.000s      0.008w     16 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     16 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w     16 calls
bMatrix setup                       :      0.000u      0.000s      0.000w     16 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w     16 calls
New vector                          :      0.000u      0.000s      0.000w     16 calls
HF: Form C                          :      0.000u      0.000s      0.001w     16 calls
V: Grid                             :      0.033u      0.000s      0.024w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.033u      0.000s      0.014w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.033u      0.000s      0.023w      2 calls
| SAD Guess                         :      0.033u      0.000s      0.021w      2 calls
HF: Form G                          :      1.133u      0.017s      0.693w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     18 calls
| JK: JK                            :      0.000u      0.000s      0.003w     18 calls
| | PK computes JK                  :      0.000u      0.000s      0.003w     18 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
| UV: Form V                        :      1.133u      0.017s      0.687w      8 calls
| | Properties                      :      0.400u      0.000s      0.228w   4424 calls
| | Functional                      :      0.300u      0.000s      0.241w   4424 calls
| | V_xc                            :      0.400u      0.000s      0.202w   4424 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.017u      0.000s      0.008w     16 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w     16 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w     16 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w     16 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w     16 calls
| | New vector                      :      0.000u      0.000s      0.000w     16 calls
