
Host: Maxs-Air

Timers On : Sun Jul  4 13:32:14 2021
Timers Off: Sun Jul  4 13:32:20 2021

Wall Time:        5.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.083u      0.000s      0.025w     12 calls
Libint2ERI::Libint2ERI              :      0.317u      0.017s      0.051w    176 calls
DFH: initialize()                   :      0.533u      0.083s      0.105w     12 calls
DFH: AO Construction                :      0.017u      0.000s      0.006w     12 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.003w     12 calls
HF: Form core H                     :      0.150u      0.000s      0.022w     10 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w     10 calls
HF: Guess                           :      0.683u      0.067s      0.117w     10 calls
SAD Guess                           :      0.667u      0.067s      0.111w      8 calls
HF: Form G                          :      0.133u      0.000s      0.012w     99 calls
JK: D                               :      0.000u      0.000s      0.001w    125 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w    125 calls
JK: JK                              :      0.200u      0.000s      0.023w    125 calls
DFH: compute_JK()                   :      0.200u      0.000s      0.022w    125 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    125 calls
DFH: compute_J                      :      0.033u      0.000s      0.004w    125 calls
DFH: compute_K                      :      0.050u      0.000s      0.017w    125 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    125 calls
HF: Form F                          :      0.000u      0.000s      0.000w     99 calls
HF: Form D                          :      0.000u      0.000s      0.000w     99 calls
HF: DIIS                            :      0.083u      0.017s      0.037w     91 calls
DIISManager::add_entry              :      0.000u      0.000s      0.003w     89 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.004w     89 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     89 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     89 calls
New vector                          :      0.000u      0.000s      0.001w     89 calls
HF: Form C                          :      0.017u      0.000s      0.003w     91 calls
Grad: V T Perturb                   :      3.517u      0.400s      0.593w      5 calls
Grad: S                             :      0.000u      0.000s      0.000w      5 calls
Grad: JK                            :      0.383u      0.033s      0.077w      5 calls
JKGrad: Amn                         :      0.083u      0.033s      0.018w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.117u      0.000s      0.018w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.050u      0.000s      0.006w      5 calls
JKGrad: Amnx                        :      0.100u      0.000s      0.028w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls
Hess: XC                            :      0.000u      0.000s      0.000w      2 calls
Hess: V                             :      2.067u      0.317s      0.385w      2 calls
Hess: T                             :      0.000u      0.000s      0.000w      2 calls
Hess: S                             :      0.000u      0.000s      0.000w      2 calls
Hess: JK                            :      1.150u      0.050s      0.191w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.083u      0.000s      0.025w     12 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.017w     12 calls
DFH: initialize()                   :      0.533u      0.083s      0.105w     12 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.007w     60 calls
| DFH: AO Construction              :      0.017u      0.000s      0.006w     12 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.003w     12 calls
HF: Form core H                     :      0.150u      0.000s      0.022w     10 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w     10 calls
HF: Guess                           :      0.683u      0.067s      0.117w     10 calls
| SAD Guess                         :      0.667u      0.067s      0.111w      8 calls
HF: Form G                          :      0.133u      0.000s      0.012w     99 calls
| JK: D                             :      0.000u      0.000s      0.000w     99 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     99 calls
| JK: JK                            :      0.083u      0.000s      0.008w     99 calls
| | DFH: compute_JK()               :      0.083u      0.000s      0.008w     99 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     99 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     99 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.005w     99 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w     99 calls
HF: Form F                          :      0.000u      0.000s      0.000w     99 calls
HF: Form D                          :      0.000u      0.000s      0.000w     99 calls
HF: DIIS                            :      0.083u      0.017s      0.037w     91 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.003w     89 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.004w     89 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     89 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     89 calls
| | New vector                      :      0.000u      0.000s      0.001w     89 calls
HF: Form C                          :      0.017u      0.000s      0.003w     91 calls
Grad: V T Perturb                   :      3.517u      0.400s      0.593w      5 calls
Grad: S                             :      0.000u      0.000s      0.000w      5 calls
